round,method,task,worker,fairness-pairwise,waste-pairwise,avg-density,max-density,min-density,avg-budget
0,max-cover,5,100,0.5509138381201044,0.3655352480417754,1.4506844878690617,2.0657512783063727,0.6864852355752565,1.0
0,budget,5,100,0.8537859007832898,0.0600522193211488,2.178649555372064,2.8198829996636228,1.3670635171396566,1.0
0,matroid,5,100,0.6527415143603132,0.370757180156658,0.9208677147874632,1.507846588058472,0.482400854170922,1.0
0,heuristic,5,100,0.9843342036553524,0.0,2.062625016002542,3.010416625291461,1.1044344843122789,1.0
1,max-cover,5,100,0.762,0.142,1.1770257040736471,2.004864590362714,0.8306516885026303,1.0
1,budget,5,100,0.746,0.186,1.538132036770254,2.683189756761048,0.9155472810756852,1.0
1,matroid,5,100,0.598,0.362,0.9756210208820904,2.379322474504125,0.5410174257442786,1.0
1,heuristic,5,100,0.922,0.0,1.4713958630699706,3.2806241491878088,0.6384706373273277,1.0
2,max-cover,5,100,0.6294536817102138,0.3800475059382422,1.4361045698554915,2.165951810617005,0.7649944748078058,1.0
2,budget,5,100,0.9121140142517816,0.0498812351543943,1.895566375661536,2.544151109896017,1.198950445469395,1.0
2,matroid,5,100,0.3254156769596199,0.7268408551068883,0.8108683531050547,1.039416816017931,0.5051722738643045,1.0
2,heuristic,5,100,0.9572446555819476,0.0,1.708847489011008,2.5818621568291933,0.8291948538074869,1.0
3,max-cover,5,100,0.7204819277108434,0.2578313253012048,1.2722280638387855,2.4238623778138675,0.6130978324048485,1.0
3,budget,5,100,0.8144578313253013,0.1180722891566265,1.8772958649327431,3.020107862246926,1.0970844803093316,1.0
3,matroid,5,100,0.4771084337349397,0.5903614457831325,0.9470262783000368,1.283573312097897,0.5091340395377462,1.0
3,heuristic,5,100,0.8891566265060241,0.0216867469879518,1.4409918061833014,2.185268243246363,0.6861809589353356,1.0
4,max-cover,5,100,0.90537084398977,0.0460358056265984,1.6426079042391308,2.2815817560523333,1.0419008953680524,1.0
4,budget,5,100,0.9104859335038364,0.0255754475703324,1.9878301006000008,3.2229883708795515,1.2784381199141246,1.0
4,matroid,5,100,0.7212276214833759,0.3120204603580562,0.7708743795209128,1.3681802198273605,0.3877831876029621,1.0
4,heuristic,5,100,0.9718670076726342,0.0,1.76399036973639,2.6631152979751853,0.5259444379838959,1.0
0,max-cover,10,100,0.8034006376195537,0.2029755579171094,13.088285503795111,42.79125486439239,6.437569750974113,1.0
